Company,Fixed_charge,RoR,Cost,Demand_growth,Fuel_Cost
Arizona ,1.06,9.2,151,1.6,0.628
Boston ,0.89,10.3,202,2.2,1.555
Central ,1.43,15.4,113,3.4,1.058
Commonwealth,1.02,11.2,168,0.3,0.7
NY,1.49,8.8,192,1,2.044
Florida ,1.32,13.5,111,-2.2,1.241
Hawaiian ,1.22,12.2,175,2.2,1.652
Idaho,1.1,9.2,245,3.3,0.309
Kentucky,1.34,13,168,7.2,0.862
Madison ,1.12,12.4,197,2.7,0.623
Nevada,0.75,7.5,173,6.5,0.768
New England,1.13,10.9,178,3.7,1.897
Northern,1.15,12.7,199,6.4,0.527
Oklahoma,1.09,12,96,1.4,0.588
Pacific ,0.96,7.6,164,-0.1,1.4
Puget,1.16,9.9,252,9.2,0.62
San Diego,0.76,6.4,136,9,1.92
Southern,1.05,12.6,150,2.7,1.108
Texas,1.16,11.7,104,-2.1,0.636
Wisconsin,1.2,11.8,148,3.5,0.702
United,1.04,8.6,204,3.5,2.116
Virginia,1.07,9.3,174,5.9,1.306
